date,trip_count,avg_fare,avg_distance,avg_passenger_count,total_revenue,day_of_week,day_name,month,month_name
2024-08-09,88669,19.648574135267115,3.561754953817005,1.3633751369779619,1742219.42,4,Friday,8,August
2024-08-10,92675,19.796247747504722,7.159119611545725,1.4544487463354898,1834617.26,5,Saturday,8,August
2024-08-11,78450,22.40536673040153,5.716370681963033,1.425177518707458,1757701.02,6,Sunday,8,August
2024-08-12,77673,20.799436998699676,6.789848982271831,1.3178282031576534,1615554.67,0,Monday,8,August
2024-08-13,88891,19.427017808327054,3.606794163638613,1.3001299929094776,1726887.04,1,Tuesday,8,August
2024-08-14,96382,19.39707455748999,3.403756821813202,1.2919198420403843,1869528.84,2,Wednesday,8,August
2024-08-15,97817,19.985552818017318,4.542741036834088,1.3087075539333899,1954926.82,3,Thursday,8,August
2024-08-16,90854,19.90810200981795,5.078780901226143,1.3779849391593568,1808730.7,4,Friday,8,August
2024-08-17,90376,19.8298481897849,5.860433190227494,1.4543077414127525,1792142.36,5,Saturday,8,August
2024-08-18,80677,20.900475352330897,7.856380876829827,1.4321947920189382,1686187.65,6,Sunday,8,August
2024-08-19,81152,22.296675744282336,4.244416157334385,1.3110083880852832,1809419.83,0,Monday,8,August
2024-08-20,90039,20.619429358389144,5.326393451726474,1.2988831044803932,1856552.8,1,Tuesday,8,August
2024-08-21,90884,20.033602614321552,3.5864449187975884,1.3060128847530423,1820733.94,2,Wednesday,8,August
2024-08-22,92496,20.8128247708009,3.7124729718041865,1.3206719733220653,1925103.04,3,Thursday,8,August
2024-08-23,87843,20.496730644445204,3.777143767858566,1.3722176719984582,1800494.31,4,Friday,8,August
2024-08-24,87263,20.01301021051305,3.67527944260454,1.4608271960322505,1746395.31,5,Saturday,8,August
2024-08-25,81008,21.63978063894924,5.543413490025677,1.4362864243384221,1752995.35,6,Sunday,8,August
2024-08-26,82427,21.04090249554151,4.8315698739490704,1.3234784632090595,1734338.47,0,Monday,8,August
2024-08-27,90981,20.015129202800583,5.627139512645497,1.3090411087180447,1820996.47,1,Tuesday,8,August
2024-08-28,100529,19.996503397029713,4.274222264222264,1.313113310858689,2010228.49,2,Wednesday,8,August
2024-08-29,96366,21.02359691177386,4.8783455783160035,1.3281333870101986,2025959.94,3,Thursday,8,August
2024-08-30,89762,21.206533388293487,5.262928856308906,1.3977045484844446,1903540.85,4,Friday,8,August
2024-08-31,86435,20.817326430265517,6.602505003760051,1.4976023139573238,1799345.61,5,Saturday,8,August
2024-09-01,30,19.436666666666667,3.6866666666666665,1.1333333333333333,583.1,6,Sunday,9,September
